"INGRESA AQUI LOS PRODUCTOS VARIABLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID","Tipo","SKU padre","sku ","Nombre","Publicado (0/1)","¿Está destacado? (0/1)","Visibilidad en el catálogo","Descripción corta","Descripción","Estado del impuesto","Clase de impuesto","¿En inventario? (0/1)","Inventario (cantidad)","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes https://drive.google.com/drive/folders/1i9GHkuXTpf8pYqphmtF9dLWNeRXMGxlH","Swatches Attributes","Nombre del atributo 1","Valor(es) del atributo talla","Atributo visible talla","Atributo global talla","Atributo por defecto talla",""
"","variable","","","SANDALIAS ROLLING STONES T-39","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS ROLLING STONES T-40","1","0","visible","","","","","","","","","","","","110,000","ZAPATOS","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INGRESA AQUI LOS PRODUCTOS SIMPLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID","Tipo","SKU","Nombre","Publicado (0/1)","¿Está destacado? (0/1)","Visibilidad en el catálogo","Descripción corta","Descripción","Estado del impuesto","Clase de impuesto","¿En inventario? (0/1)","Inventario (cantidad)","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes https://drive.google.com/drive/folders/14R0sBBr2coFV19jQPLZPEoaXZrOZwEXc","Swatches Attributes","","","","","","",""
"114","simple","","VESTIDO MARTINA","1","0","visible","","VESTIDO SILUETA AMPLIA, ELABORADO EN CHALLIES, CON CORTE EN LA ENTREPIERNA.","taxable","","1","6","","","","","","110,000","VESTIDO","","","https://powerbuildingoficial.com/wp-content/uploads/2019/09/min-gorila-mod-guille.jpg","","","","","","","",""
"115","simple","","VESTIDO ANASTASIA","1","0","visible","","VESTIDO DE SILUETA AMPLIA COLA DE PATO, ELABORADO EN CHALLIES, CON ESCOTE POSTERIOR PROFUNDO Y MANGA ALETEO.","taxable","","1","1","","","","","","110,000","VESTIDO","","","","","","","","","","",""
"116","simple","","VESTIDO RAYAS","1","0","visible","","VESTIDO CORTO  AJUSTADO, DE RAYAS, MANGA LARGA.","taxable","","1","4","","","","","","68,000","VESTIDO","","","","","","","","","","",""
"117","simple","","BASICAS CORTAS","1","0","visible","","CAMISETAS BASICAS ELABORADAS EN LYCRA ALGODON.","taxable","","1","100","","","","","3 POR 60.000","28,000","CAMISETAS","","","VESTIDO PITON","","","","","","","",""
"118","simple","","BASICAS LARGAS","1","0","visible","","CAMISETAS BASICAS ELABORADAS EN LYCRA ALGODON.","taxable","","1","100","","","","","2 POR 50.000","30,000","CAMISETAS","","","VESTIDO COMBINADO","","","","","","","",""
